热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.003723,300.016113,3612.519775,3615.297607,306.853699,306.851807,283.405487,283.398987,5.842800,5.829500,10.473100,10.479600,246.556305,246.003601,246.561905,246.000305,212.815399,212.814194,18.000000,18.000000,244.354004,243.787201,273.898285,273.751495,15.265700,5.402500,132.363800,357.852814,337.484802
915.004211,300.003113,3612.535889,3615.258789,306.852814,306.851593,283.405396,283.398895,5.842500,5.829000,10.473000,10.479500,246.584198,245.996902,246.582504,246.003403,212.815598,212.814407,18.000000,18.000000,244.231705,243.679001,273.896790,273.745514,15.265800,5.402400,132.439606,357.884796,337.485413
915.006226,300.002289,3612.539063,3615.386475,306.853394,306.851807,283.405487,283.399200,5.842800,5.829200,10.473100,10.479500,246.563004,246.020599,246.562897,246.016998,212.815506,212.814301,18.000000,18.000000,244.306702,243.729401,273.899292,273.748199,15.266000,5.402500,132.303696,357.852814,337.485687
915.007874,300.009613,3612.523438,3615.350586,306.853912,306.851715,283.405396,283.398987,5.842500,5.829400,10.473000,10.479600,246.576797,246.001999,246.580597,245.999298,212.815399,212.814301,18.000000,18.000000,244.302002,243.749603,273.895813,273.750610,15.265800,5.402500,132.177795,357.838593,337.485199
915.002319,299.996185,3612.534180,3615.283691,306.853088,306.851715,283.405304,283.398895,5.842800,5.829600,10.473100,10.479600,246.574295,245.995804,246.571899,245.994705,212.815506,212.814301,18.000000,18.000000,244.347305,243.793594,273.899902,273.751801,15.265700,5.402500,132.217896,357.880493,337.485504
915.003784,300.018188,3612.541992,3615.319336,306.853699,306.851898,283.405304,283.399109,5.842900,5.828800,10.473100,10.479400,246.562393,246.008194,246.559204,246.016907,212.815399,212.814301,18.000000,18.000000,244.304398,243.725906,273.900513,273.743500,15.266000,5.402400,132.114899,357.862488,337.486115
915.001099,299.993713,3612.525635,3615.330078,306.854187,306.851807,283.405487,283.399109,5.842500,5.829300,10.473000,10.479500,246.569305,246.016998,246.576004,246.009506,212.815598,212.814407,18.000000,18.000000,244.255096,243.690399,273.895294,273.749207,15.265900,5.402500,131.941803,357.840515,337.485504
914.999329,300.013611,3612.513672,3615.227295,306.853912,306.851715,283.405396,283.398895,5.842800,5.829500,10.473100,10.479600,246.574005,246.000900,246.570694,245.999893,212.815399,212.814194,18.000000,18.000000,244.354706,243.796204,273.899811,273.750793,15.265800,5.402400,131.957504,357.861298,337.485199
915.004517,299.998199,3612.541016,3615.230713,306.852814,306.851593,283.405212,283.398895,5.843100,5.829200,10.473100,10.479500,246.564896,245.998901,246.560898,246.004593,212.815598,212.814407,18.000000,18.000000,244.343506,243.774094,273.902100,273.746613,15.265900,5.402400,132.024796,357.892303,337.485809
915.008484,300.003815,3612.541260,3615.344482,306.853302,306.851593,283.405396,283.398987,5.843200,5.829000,10.473200,10.479500,246.550400,246.026398,246.549606,246.025497,212.815506,212.814301,18.000000,18.000000,244.310806,243.716705,273.903290,273.746307,15.266100,5.402500,131.933197,357.848602,337.486389
915.008728,299.984192,3612.521973,3615.379150,306.854095,306.851715,283.405487,283.398987,5.842900,5.829400,10.473000,10.479600,246.551895,246.011002,246.557602,246.007095,212.815704,212.814499,18.000000,18.000000,244.335098,243.759399,273.898804,273.750000,15.265900,5.402500,131.757294,357.836700,337.485596
914.999817,300.002014,3612.525879,3615.253418,306.853485,306.851715,283.405487,283.398895,5.842500,5.829500,10.473000,10.479600,246.583893,245.995300,246.584793,245.993500,212.815598,212.814407,18.000000,18.000000,244.272598,243.727707,273.896698,273.751099,15.265700,5.402500,131.761597,357.876587,337.485901
915.001587,299.986298,3612.541504,3615.202637,306.852600,306.851593,283.405304,283.398895,5.842700,5.828900,10.473000,10.479400,246.566498,246.007294,246.565094,246.014404,212.815598,212.814499,18.000000,18.000000,244.286896,243.715103,273.897797,273.744110,15.265900,5.402400,131.794495,357.891388,337.486908
915.004517,299.994385,3612.546875,3615.406494,306.853485,306.851807,283.405304,283.398987,5.842600,5.829300,10.472900,10.479500,246.578705,246.013199,246.579498,246.008102,212.815506,212.814301,18.000000,18.000000,244.270401,243.710098,273.897186,273.749115,15.266000,5.402500,131.702896,357.852295,337.486511
915.000305,299.989990,3612.533203,3615.395020,306.853912,306.851807,283.405304,283.398895,5.843000,5.829500,10.473000,10.479500,246.567703,246.002808,246.565201,246.001404,212.815506,212.814301,18.000000,18.000000,244.372894,243.808899,273.900787,273.750793,15.266000,5.402500,131.531204,357.837799,337.485992
914.997986,299.994690,3612.521973,3615.221436,306.853302,306.851715,283.405212,283.398895,5.842500,5.829600,10.472900,10.479600,246.570801,245.995102,246.576996,245.992401,212.815598,212.814407,18.000000,18.000000,244.309692,243.760300,273.895203,273.752502,15.265800,5.402500,131.485504,357.870605,337.486115
915.000000,299.996704,3612.545654,3615.260254,306.852997,306.851715,283.405304,283.398895,5.842800,5.828900,10.473000,10.479300,246.581299,245.996002,246.574295,246.006500,212.815598,212.814407,18.000000,18.000000,244.276398,243.717407,273.898895,273.744202,15.266000,5.402400,131.544098,357.880798,337.486786
915.000122,299.985413,3612.533203,3615.325439,306.853302,306.851593,283.405304,283.398987,5.842900,5.829200,10.473000,10.479400,246.561600,246.022797,246.561005,246.017105,212.815704,212.814499,18.000000,18.000000,244.308304,243.728806,273.900787,273.748993,15.266100,5.402500,131.392502,357.844208,337.486603
914.999695,300.001312,3612.514893,3615.240723,306.854004,306.851715,283.405487,283.398987,5.843100,5.829500,10.473100,10.479500,246.559097,246.003601,246.557907,246.001907,212.815598,212.814407,18.000000,18.000000,244.389694,243.818802,273.903107,273.751312,15.265900,5.402400,131.285202,357.856415,337.485809
915.002930,299.989502,3612.530029,3615.229004,306.853088,306.851593,283.405396,283.398895,5.842400,5.829600,10.472900,10.479600,246.563095,245.996597,246.573502,245.992599,212.815796,212.814499,18.000000,18.000000,244.296402,243.743698,273.894287,273.752594,15.265800,5.402400,131.292297,357.888489,337.486206
915.003113,300.001190,3612.551270,3615.322266,306.852905,306.851593,283.405396,283.398987,5.842800,5.829600,10.473000,10.479500,246.588394,245.985107,246.582199,245.986496,212.815704,212.814499,18.000000,18.000000,244.303299,243.763901,273.899414,273.752411,15.266100,5.402400,131.299500,357.881500,337.487000
915.000671,299.988403,3612.535156,3615.351318,306.853790,306.851715,283.405396,283.398987,5.843000,5.828800,10.473100,10.479300,246.561905,246.010803,246.557495,246.020401,212.815796,212.814606,18.000000,18.000000,244.278793,243.697006,273.901398,273.742889,15.266100,5.402500,131.152206,357.841614,337.487000
915.000305,299.998108,3612.518799,3615.254883,306.853485,306.851593,283.405304,283.398804,5.842800,5.829400,10.472900,10.479400,246.556305,246.017303,246.561203,246.009995,212.815704,212.814499,18.000000,18.000000,244.318298,243.746994,273.897400,273.749603,15.265900,5.402400,131.027695,357.863800,337.486511
915.003174,299.989685,3612.541260,3615.245361,306.852814,306.851593,283.405304,283.398712,5.842600,5.828900,10.472900,10.479200,246.578705,246.005402,246.577805,246.010605,212.815598,212.814407,18.000000,18.000000,244.248596,243.683502,273.897888,273.744110,15.265800,5.402400,131.100693,357.885315,337.487305
915.004578,299.991486,3612.538086,3615.356445,306.853394,306.851715,283.405304,283.398804,5.842900,5.829300,10.472900,10.479300,246.564301,246.017502,246.562698,246.013397,212.815399,212.814301,18.000000,18.000000,244.344299,243.769302,273.901001,273.748901,15.266100,5.402400,131.047699,357.848389,337.487305
914.997314,299.993805,3612.297852,3615.513184,306.844696,306.845001,283.401489,283.394989,5.843000,5.829400,10.472900,10.479400,246.559204,246.006104,246.559006,246.004807,212.815399,212.814194,18.000000,18.000000,244.361801,243.791702,273.900208,273.750793,15.251100,5.404700,133.295105,357.580109,337.483307
915.113098,299.993805,3612.093750,3615.280762,306.828400,306.828308,283.392090,283.385803,5.842300,5.829600,10.472800,10.479500,246.575699,245.995407,246.582901,245.992401,212.815506,212.814301,18.000000,18.000000,244.270706,243.728302,273.894196,273.752197,15.208400,5.407100,153.154800,357.065094,337.447510
915.445129,299.993500,3611.895264,3615.068359,306.814789,306.814789,283.384003,283.378113,5.842700,5.828800,10.472800,10.479100,246.580307,245.998398,246.574203,246.010193,212.815598,212.814407,18.000000,18.000000,244.253601,243.685593,273.898010,273.740997,15.169500,5.408500,173.772797,356.562012,337.389893
915.275879,299.987915,3611.671631,3614.852539,306.805115,306.805115,283.377991,283.372711,5.842800,5.828900,10.472700,10.479100,246.562195,246.032104,246.561996,246.027603,212.815506,212.814301,18.000000,18.000000,244.297607,243.712402,273.899689,273.746094,15.133700,5.409500,194.093201,356.088196,337.319702
914.538879,299.992096,3611.454834,3614.613037,306.798309,306.798309,283.374115,283.369110,5.842200,5.829100,10.472400,10.479100,246.568298,246.013702,246.577499,246.009903,212.815399,212.814194,18.000000,18.000000,244.268799,243.711899,273.889709,273.747589,15.099600,5.410100,214.742706,355.640411,337.243103
